linesOfCode,numberOfNodes,numberOfCauses,numberOfLocations,duration
217,868,6,6,4008
217,868,8,8,4134
217,868,10,10,4258
217,868,12,12,4441
217,868,14,14,4628
217,868,16,16,4835
217,868,18,18,5040
217,868,20,20,5330
217,868,22,22,5719
217,868,24,24,6042
217,868,26,26,6477
217,868,28,28,6967
217,868,30,30,7609
222,888,2,2,4060
222,888,4,4,4081
222,888,6,6,4216
222,888,8,8,4316
222,888,10,10,4450
222,888,12,12,4635
222,888,14,14,4818
222,888,16,16,5049
222,888,18,18,5271
222,888,20,20,5528
222,888,22,22,5821
222,888,24,24,6248
222,888,26,26,6667
222,888,28,28,7172
222,888,30,30,7739
227,908,2,2,4181
227,908,4,4,4266
227,908,6,6,4409
227,908,8,8,4534
227,908,10,10,4635
227,908,12,12,4780
227,908,14,14,4965
227,908,16,16,5196
227,908,18,18,5432
227,908,20,20,5724
227,908,22,22,6045
227,908,24,24,6438
227,908,26,26,6877
227,908,28,28,7396
227,908,30,30,8007
232,928,2,2,4335
232,928,4,4,4438
232,928,6,6,4555
232,928,8,8,4696
232,928,10,10,4838
232,928,12,12,4991
232,928,14,14,5211
232,928,16,16,5376
232,928,18,18,5594
232,928,20,20,5943
232,928,22,22,6278
232,928,24,24,6672
232,928,26,26,7096
232,928,28,28,7632
232,928,30,30,8233
237,948,2,2,4503
237,948,4,4,4654
237,948,6,6,4763
237,948,8,8,4876
237,948,10,10,5046
237,948,12,12,5180
237,948,14,14,5422
237,948,16,16,5603
237,948,18,18,5812
237,948,20,20,6111
237,948,22,22,6467
237,948,24,24,6853
237,948,26,26,7305
237,948,28,28,7803
237,948,30,30,8458
242,968,2,2,4715
242,968,4,4,4810
242,968,6,6,4905
242,968,8,8,5063
242,968,10,10,5209
242,968,12,12,5388
242,968,14,14,5576
242,968,16,16,5796
242,968,18,18,6027
242,968,20,20,6340
242,968,22,22,6836
242,968,24,24,7046
242,968,26,26,7488
242,968,28,28,8076
242,968,30,30,8214
247,988,2,2,4771
247,988,4,4,4864
247,988,6,6,5060
247,988,8,8,5242
247,988,10,10,5435
247,988,12,12,5589
247,988,14,14,5802
247,988,16,16,5976
247,988,18,18,6216
247,988,20,20,6518
247,988,22,22,6861
247,988,24,24,7298
247,988,26,26,7729
247,988,28,28,8326
247,988,30,30,8917
252,1008,2,2,5044
252,1008,4,4,5178
252,1008,6,6,5295
252,1008,8,8,5454
252,1008,10,10,5556
252,1008,12,12,5778
252,1008,14,14,5990
252,1008,16,16,6200
252,1008,18,18,6472
252,1008,20,20,6795
252,1008,22,22,7094
252,1008,24,24,7497
252,1008,26,26,7994
252,1008,28,28,8504
252,1008,30,30,9133
257,1028,2,2,5265
257,1028,4,4,5393
257,1028,6,6,5476
257,1028,8,8,5666
257,1028,10,10,5788
257,1028,12,12,5969
257,1028,14,14,6217
257,1028,16,16,6421
257,1028,18,18,6669
257,1028,20,20,6989
257,1028,22,22,7321
257,1028,24,24,7757
257,1028,26,26,8155
257,1028,28,28,8730
257,1028,30,30,9437
262,1048,2,2,5487
262,1048,4,4,5556
262,1048,6,6,5703
262,1048,8,8,5813
262,1048,10,10,6054
262,1048,12,12,6651
262,1048,14,14,6454
262,1048,16,16,6726
262,1048,18,18,6954
262,1048,20,20,7259
262,1048,22,22,7569
262,1048,24,24,7997
262,1048,26,26,8494
262,1048,28,28,8984
262,1048,30,30,9614
267,1068,2,2,5662
267,1068,4,4,5762
267,1068,6,6,5891
267,1068,8,8,6047
267,1068,10,10,6188
267,1068,12,12,6394
267,1068,14,14,6655
267,1068,16,16,6867
267,1068,18,18,7101
267,1068,20,20,7395
267,1068,22,22,7745
267,1068,24,24,8197
267,1068,26,26,8620
267,1068,28,28,9192
267,1068,30,30,9847
272,1088,2,2,5863
272,1088,4,4,5996
272,1088,6,6,6095
272,1088,8,8,6252
272,1088,10,10,6449
272,1088,12,12,6577
272,1088,14,14,6857
272,1088,16,16,7109
272,1088,18,18,7335
272,1088,20,20,7635
272,1088,22,22,8105
272,1088,24,24,8492
272,1088,26,26,8873
272,1088,28,28,9444
272,1088,30,30,10081
277,1108,2,2,6080
277,1108,4,4,6180
277,1108,6,6,6347
277,1108,8,8,6460
277,1108,10,10,6653
277,1108,12,12,6872
277,1108,14,14,7082
277,1108,16,16,7321
277,1108,18,18,7544
277,1108,20,20,7866
277,1108,22,22,8270
277,1108,24,24,8621
277,1108,26,26,9118
277,1108,28,28,9703
277,1108,30,30,10320
282,1128,2,2,6248
282,1128,4,4,6447
282,1128,6,6,6560
282,1128,8,8,6702
282,1128,10,10,6891
282,1128,12,12,7068
282,1128,14,14,7319
282,1128,16,16,7562
282,1128,18,18,7829
282,1128,20,20,8098
282,1128,22,22,8474
282,1128,24,24,8885
282,1128,26,26,9389
282,1128,28,28,10047
282,1128,30,30,10542
287,1148,2,2,6471
287,1148,4,4,6641
287,1148,6,6,6752
287,1148,8,8,6945
287,1148,10,10,7056
287,1148,12,12,7335
287,1148,14,14,7596
287,1148,16,16,7796
287,1148,18,18,8036
287,1148,20,20,8371
287,1148,22,22,8693
287,1148,24,24,9140
287,1148,26,26,9611
287,1148,28,28,10159
287,1148,30,30,10809
292,1168,2,2,6740
292,1168,4,4,7026
292,1168,6,6,7017
292,1168,8,8,7193
292,1168,10,10,7327
292,1168,12,12,7547
292,1168,14,14,7833
292,1168,16,16,8036
292,1168,18,18,8333
292,1168,20,20,8625
292,1168,22,22,8972
292,1168,24,24,9393
292,1168,26,26,9823
292,1168,28,28,10451
292,1168,30,30,11092
297,1188,2,2,7002
297,1188,4,4,7093
297,1188,6,6,7246
297,1188,8,8,7414
297,1188,10,10,7662
297,1188,12,12,7804
297,1188,14,14,8039
297,1188,16,16,8257
297,1188,18,18,8540
297,1188,20,20,8809
297,1188,22,22,9180
297,1188,24,24,9671
297,1188,26,26,10187
297,1188,28,28,10839
297,1188,30,30,11515
